"","Discovery Facility","Discovered Planets","Discovery Methods","Average Orbital Period (days)","Median Orbital Period (days)","Average Orbit Semi-Major Axis (AU)","Median Orbit Semi-Major Axis (AU)","Average Inclination (deg)","lon","lat","website"
"1","Acton Sky Portal Observatory",1,1,1.71,1.71,0.03,0.03,83.2,NA,NA,"<a href='www.nasa.gov'target = '_blank'>Acton Sky Portal Observatory</a>"
"2","Anglo-Australian Telescope",37,2,1808.94,796,2.5,1.93,81.07,149.0672597,-31.2755295,"<a href='https://www.aao.gov.au/about-us/anglo-australian-telescope'target = '_blank'>Anglo-Australian Telescope</a>"
"3","Apache Point Observatory",1,1,13.48,13.48,0.12,0.12,NA,-105.8197491,32.7802079,"<a href='https://www.apo.nmsu.edu/'target = '_blank'>Apache Point Observatory</a>"
"4","Arecibo Observatory",3,1,63.34,66.54,0.34,0.36,50,-66.7528196,18.3464019,"<a href='https://www.naic.edu/ao/landing'target = '_blank'>Arecibo Observatory</a>"
"5","Bohyunsan Optical Astronomical Observatory",16,1,470.3,457.1,1.29,1.25,NA,-110.9473242,32.2334747,"<a href='https://www.kasi.re.kr/eng/pageView/65'target = '_blank'>Bohyunsan Optical Astronomical Observatory</a>"
"6","Calar Alto Observatory",9,1,86.23,13.35,0.21,0.08,NA,-2.5467574,37.2208416,"<a href='https://www.caha.es/'target = '_blank'>Calar Alto Observatory</a>"
"7","Cerro Tololo Inter-American Observatory",2,2,1.63,1.63,78.01,78.01,NA,-70.806343,-30.1689593,"<a href='http://www.ctio.noao.edu/noao/'target = '_blank'>Cerro Tololo Inter-American Observatory</a>"
"8","CoRoT",31,2,7.9,4.04,0.07,0.05,86.56,NA,NA,"<a href='https://sci.esa.int/web/corot'target = '_blank'>CoRoT</a>"
"9","European Southern Observatory",2,2,11.19,11.19,17.27,17.27,49.7,11.6709547,48.2595829,"<a href='https://www.eso.org/public/'target = '_blank'>European Southern Observatory</a>"
"10","Fred Lawrence Whipple Observatory",6,1,119.25,22.97,0.26,0.06,NA,-110.9519942,31.6752537,"<a href='https://www.cfa.harvard.edu/flwo'target = '_blank'>Fred Lawrence Whipple Observatory</a>"
"11","Fred Lawrence Whipple Observatory (HATNet)",59,1,3.78,3.36,0.05,0.05,87.1,-110.9519942,31.6752537,"<a href='https://www.cfa.harvard.edu/flwo'target = '_blank'>Fred Lawrence Whipple Observatory (HATNet)</a>"
