# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Sep 29 21:45:42 2019
#
# User preference: *
#
# CONSTRAINT:  order by pl_pelink asc
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_controvflag: Controversial Flag
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN gaia_dist:      Gaia Distance [pc]
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_trandep:     Transit Depth [percent]
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_disc:        Year of Discovery
# COLUMN pl_facility:    Discovery Facility
# COLUMN pl_pelink:      Link to Exoplanet Encyclopaedia
# COLUMN pl_edelink:     Link to Exoplanet Data Explorer
#
loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_trandep,pl_trandur,pl_tranmid,pl_disc,pl_facility,pl_pelink,pl_edelink
1,11 Com,b,11 Com b,Radial Velocity,0,1,326.03000000,1.290000,0.231000,,19.40000,Msini,,,0,0,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,93.37,4.740,V (Johnson),4.372,4742.00,2.70,19.00,2014-05-14,,,,2007,Xinglong Station,http://exoplanet.eu/catalog/11_com_b/,http://exoplanets.org/detail/11_Com_b
2,11 UMi,b,11 UMi b,Radial Velocity,0,1,516.21997000,1.530000,0.080000,,14.74000,Msini,,,0,0,0,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,125.72,5.016,V (Johnson),4.500,4213.00,2.78,29.79,2018-09-06,,,,2009,Thueringer Landessternwarte Tautenburg,http://exoplanet.eu/catalog/11_umi_b/,http://exoplanets.org/detail/11_UMi_b
3,14 And,b,14 And b,Radial Velocity,0,1,185.84000000,0.830000,0.000000,,4.80000,Msini,,,0,0,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,75.59,5.227,V (Johnson),4.872,4813.00,2.20,11.00,2014-05-14,,,,2008,Okayama Astrophysical Observatory,http://exoplanet.eu/catalog/14_and_b/,http://exoplanets.org/detail/14_And_b
4,14 Her,b,14 Her b,Radial Velocity,0,1,1773.40002000,2.930000,0.370000,,4.66000,Msini,,,0,0,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,17.94,6.610,V (Johnson),6.379,5338.00,0.90,0.93,2018-09-06,,,,2002,W. M. Keck Observatory,http://exoplanet.eu/catalog/14_her_b/,http://exoplanets.org/detail/14_Her_b
5,16 Cyg B,b,16 Cyg B b,Radial Velocity,0,1,798.50000000,1.660000,0.680000,,1.78000,Msini,,,0,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.15,21.15,6.250,V (Johnson),6.057,5750.00,1.08,1.13,2018-09-06,,,,1996,Multiple Observatories,http://exoplanet.eu/catalog/16_cyg_b_b/,http://exoplanets.org/detail/16_Cyg_B_b
6,18 Del,b,18 Del b,Radial Velocity,0,1,993.30000000,2.600000,0.080000,,10.30000,Msini,,,0,0,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,76.38,5.506,V (Johnson),5.244,4979.00,2.30,8.50,2014-05-14,,,,2008,Okayama Astrophysical Observatory,http://exoplanet.eu/catalog/18_del_b/,http://exoplanets.org/detail/18_Del_b
7,1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,0,1,,330.000000,,,8.00000,Mass,,,0,0,0,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145.00,139.67,,,12.057,4060.00,0.85,,2015-04-01,,,,2008,Gemini Observatory,http://exoplanet.eu/catalog/1rxs_1609_b/,
8,24 Boo,b,24 Boo b,Radial Velocity,0,1,30.35060000,0.190000,0.042000,,0.91000,Msini,,,0,0,0,0,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,96.25,5.580,V (Johnson),5.305,4893.00,0.99,10.64,2018-04-26,,,,2018,Okayama Astrophysical Observatory,http://exoplanet.eu/catalog/24_boo_b/,
9,24 Sex,b,24 Sex b,Radial Velocity,0,2,452.80000000,1.333000,0.090000,,1.99000,Msini,,,0,0,0,0,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,72.21,72.21,6.441,V (Johnson),6.198,5098.00,1.54,4.90,2014-05-14,,,,2010,Lick Observatory,http://exoplanet.eu/catalog/24_sex_b/,http://exoplanets.org/detail/24_Sex_b
10,24 Sex,c,24 Sex c,Radial Velocity,0,2,883.00000000,2.080000,0.290000,,0.86000,Msini,,,0,0,0,0,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,72.21,72.21,6.441,V (Johnson),6.198,5098.00,1.54,4.90,2014-05-14,,,,2010,Lick Observatory,http://exoplanet.eu/catalog/24_sex_c/,http://exoplanets.org/detail/24_Sex_c
11,2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,0,1,,52.000000,,,24.50000,Mass,,,0,0,0,0,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36.00,33.86,14.240,V (Johnson),12.903,3530.00,0.40,,2014-05-14,,,,2013,W. M. Keck Observatory,http://exoplanet.eu/catalog/2m_0122-24_b/,
12,2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,0,1,,156.000000,,,13.90000,Mass,1.440,,0,0,0,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.40,40.09,,,15.012,3064.00,0.11,0.28,2015-05-14,,,,2015,Cerro Tololo Inter-American Observatory,http://exoplanet.eu/catalog/2m_0219-39_b/,
13,2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,0,1,,15.000000,,,7.50000,Mass,,,0,0,0,0,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140.00,120.42,,,18.967,,0.02,,2014-05-14,,,,2010,Hubble Space Telescope,http://exoplanet.eu/catalog/2m_0441%2B23_b/,
14,2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,0,1,,46.000000,,,4.00000,Mass,,,0,0,0,0,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,64.42,64.42,20.150,V (Johnson),17.408,,0.02,,2014-05-14,,,,2004,Paranal Observatory,http://exoplanet.eu/catalog/2m1207_b/,
15,2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,Eclipse Timing Variations,0,1,416.00000000,0.920000,,,1.90000,Mass,,,0,1,0,0,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,400.77,400.77,12.264,Kepler-band,12.138,,0.48,,2015-06-04,,,,2015,Kepler,http://exoplanet.eu/catalog/2m_1938%2B46_b/,
