"loc_rowid","kepid","tce_plnt_num","tce_period","tce_time0bk","tce_impact","tce_duration","tce_depth","tce_model_snr","av_training_set"
1,"01162345",2,0.83185,132.227,0.926,2.392,6.092,2.95,"AFP"
2,"01292087",2,1.09524,132.133,0.2563,2.122,34.53,10.6,"UNK"
3,"01293031",2,0.719273,132.227,0.7,1.521,29.68,8.302,"UNK"
4,"01162345",3,0.831833,131.919,0.09536,2.181,27.1,11.95,"AFP"
5,"01164109",1,622.408,162.256,0.00319,12.01,161.3,3.719,"UNK"
6,"0757450",1,8.88492,134.452,0.05677,2.078,16310,473.3,"PC"
7,"0892667",1,2.26211,132.171,0.3,7.509,29.41,9.239,"NTP"
8,"0892772",1,5.0926,133.451,0.3,3.399,246.5,15.25,"AFP"
9,"01026032",1,8.46044,133.774,0.9829,4.804,76500,2368,"UNK"
10,"01026032",2,4.23022,133.998,0.9991,4.606,28810,1311,"UNK"
11,"01026133",2,2.69191,132.267,0.2052,5.53,40.43,11.97,"UNK"
12,"01026133",1,1.34629,132.842,0.9948,1.626,31.94,11.52,"UNK"
13,"01028018",1,0.614378,131.652,0.2898,1.448,129.3,10.86,"UNK"
14,"01026957",1,21.7613,144.779,0.318,1.277,1221,101.3,"AFP"
15,"01160891",1,0.940463,132.4,0.712,3.354,19.39,4.058,"AFP"
16,"01160891",2,0.940463,131.66,0.895,3.332,111.3,15.23,"AFP"
17,"01160891",3,0.94052,132.025,0.1,3.188,79.63,18.36,"AFP"
18,"01162150",2,0.778568,131.662,0.9013,1.399,71.9,11.18,"AFP"
19,"01162150",1,0.778574,131.98,0.7002,1.361,94.81,14.42,"AFP"
20,"01161345",1,4.28758,133.434,0.7064,1.113,890.7,137.9,"PC"
21,"01162150",3,1.28453,132.236,0.9104,4.175,62.76,10.3,"UNK"
22,"01293031",1,1.07861,132.563,0.5,3.461,26.43,9.234,"UNK"
23,"01162345",1,0.831777,131.698,0.8744,2.349,24.27,8.812,"AFP"
24,"01292087",1,0.547626,131.888,0.4156,1.408,14.14,5.218,"NTP"
25,"01573174",2,0.748347,131.886,0.644,2.897,275.1,16.21,"AFP"
26,"01574792",1,1.39175,131.572,0.5077,3.33,22.04,8.124,"NTP"
27,"01575690",1,1.1262,132.441,0.5078,1.632,23050,663.3,"AFP"
28,"01575873",1,0.629008,131.551,0.1038,1.421,18.43,15.74,"AFP"
29,"01865567",1,0.674634,131.702,0.9,2.16,4.77,10.12,"NTP"
30,"01865567",2,1.34942,132.595,0.3246,3.159,10.65,17.03,"AFP"
31,"01865567",3,1.34947,131.992,0.7,2.005,13.77,20.18,"AFP"
32,"02019227",1,2.98032,132.415,0.8989,8.03,23.09,8.974,"NTP"
33,"02019297",1,3.79424,132.645,0.2008,6.716,46.86,10.48,"UNK"
34,"02019477",1,27.2481,131.912,0.004853,10.76,82.34,9.339,"PC"
35,"02167600",1,1.69146,132.463,0.9973,2.232,60.83,13.29,"NTP"
36,"02167600",2,3.38294,131.639,0.9,4.822,33.27,6.253,"AFP"
37,"02167600",3,3.38292,133.417,0.9584,7.093,42.58,11.8,"AFP"
38,"02167783",1,0.862877,132.072,0.9,1.854,220.6,11.01,"UNK"
39,"02306740",2,10.3069,133.432,0.1,7.5,354100,-1,"AFP"
40,"02306740",3,10.307,138.748,0.9992,18.64,71520,1316,"AFP"
41,"02307197",1,449.504,266.033,0.5014,9.138,955.9,6.595,"UNK"
42,"02307199",1,13.4472,132.83,0.1,2.33,1343,102.6,"AFP"
43,"02439211",2,0.499972,131.62,0.7,1.385,70.02,6.968,"AFP"
44,"02439243",1,26.0204,154.527,0.3372,4.737,1149,22.53,"PC"
45,"02439469",1,21.1653,137.638,0.1083,15.21,183,8.8,"UNK"
46,"02439660",1,0.668328,131.84,0.9299,1.789,0.001231,0.001844,"UNK"
47,"02554853",1,3.51468,132.251,0.8842,4.885,26.23,4.795,"AFP"
48,"02554853",2,3.51349,133.85,0.9426,7.943,32.21,8.384,"AFP"
49,"02554867",1,2.4894,133.193,0.9207,6.558,80.86,7.782,"UNK"
50,"02554867",2,0.723891,132.122,0.5038,2.489,54.92,6.405,"AFP"
51,"02578072",1,0.968246,132.411,0.01462,6.848,28.06,9.769,"AFP"
52,"02578077",1,1.87905,133.276,0.5005,5.695,9.616,9.827,"AFP"
53,"02578077",2,1.87845,132.8,0.9094,4.979,10.66,11.02,"AFP"
54,"02693092",2,39.8415,141.997,0.9999,7.328,4906,544.5,"AFP"
55,"02693097",1,1.41352,132.125,0.4955,4.822,55.95,7.039,"NTP"
56,"02693097",2,4.24047,132.84,0.7026,7.312,164.1,12.4,"NTP"
57,"02693097",3,2.82707,132.827,0.7233,8.768,124,10.32,"NTP"
58,"02714932",1,1.93658,133.363,0.6929,6.319,67.94,9.857,"AFP"
59,"02714932",2,1.93652,132.486,0.03826,6.076,69.77,11.81,"AFP"
60,"02714947",1,0.968245,132.456,0.004675,5.362,30.11,11.61,"AFP"
61,"02714954",1,0.968155,132.518,0.991,1.23,18.12,5.537,"AFP"
62,"02721129",1,550.335,366.943,0.1166,11.28,2197,6.192,"UNK"
63,"02721129",2,299.74,305.118,0.5573,6.614,1501,4.783,"UNK"
64,"02721835",1,1.45433,132.138,0.6996,5.705,17.88,8.096,"UNK"
65,"02722074",1,1.93859,131.79,0.2512,7.168,41.9,10.72,"NTP"
66,"02854698",1,8.18736,138.061,0.3583,3.019,549.4,45.52,"PC"
67,"02854698",2,76.051,161.706,0.2298,6.691,409.8,14.03,"PC"
68,"02854914",1,25.9341,149.761,0.8502,4.779,421.7,36.34,"PC"
69,"02854914",2,83.4463,158.682,0.7151,6.621,492,28.78,"PC"
70,"02987660",1,0.508591,131.57,0.9003,1.489,21.16,2.289,"UNK"
71,"02987660",2,0.904939,132.327,0.07454,5.193,125.1,9.165,"NTP"
72,"02988145",1,1.23358,132.362,0.1,4.5,214.5,-1,"AFP"
73,"02988145",2,1.23355,131.563,0.4934,4.36,147.6,12.18,"AFP"
